,sample,cid,class,db,dir,num,split,tag,vid
0,#20_Rhythm_clap_u_nm_np1_fr_goo_1.avi,42,clap,hmdb51,./Dataset/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_1/img/,77,s2,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_1.avi
1,#20_Rhythm_clap_u_nm_np1_fr_goo_2.avi,42,clap,hmdb51,./Dataset/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_2/img/,77,s2,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_2.avi
2,#20_Rhythm_clap_u_nm_np1_le_goo_3.avi,42,clap,hmdb51,./Dataset/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_le_goo_3/img/,77,s2,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_le_goo_3.avi
3,#20_Rhythm_clap_u_nm_np1_le_goo_4.avi,42,clap,hmdb51,./Dataset/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_le_goo_4/img/,77,s2,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_le_goo_4.avi
4,(Rad)Schlag_die_Bank!_cartwheel_f_cm_np1_le_med_0.avi,26,cartwheel,hmdb51,./Dataset/hmdb51/cartwheel/(Rad)Schlag_die_Bank!_cartwheel_f_cm_np1_le_med_0/img/,83,s2,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/cartwheel/(Rad)Schlag_die_Bank!_cartwheel_f_cm_np1_le_med_0.avi
5,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_10.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_10/img/,84,s2,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_10.avi
6,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_6.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_6/img/,62,s2,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_6.avi
7,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_7.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_7/img/,80,s2,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_7.avi
8,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_8.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_8/img/,92,s2,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_8.avi
9,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_0.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_0/img/,78,s2,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_0.avi
10,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_1.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_1/img/,86,s2,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_1.avi
11,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_11.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_11/img/,78,s2,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_11.avi
