,sample,cid,class,db,dir,num,split,tag,vid
0,#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_fr_bad_1.avi,45,pick,hmdb51,./Dataset/hmdb51/pick/#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_fr_bad_1/img/,224,s3,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pick/#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_fr_bad_1.avi
1,#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_le_bad_2.avi,45,pick,hmdb51,./Dataset/hmdb51/pick/#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_le_bad_2/img/,116,s3,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pick/#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_le_bad_2.avi
2,#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_ri_bad_0.avi,45,pick,hmdb51,./Dataset/hmdb51/pick/#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_ri_bad_0/img/,68,s3,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pick/#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_ri_bad_0.avi
3,#20_Rhythm_clap_u_nm_np1_fr_goo_0.avi,42,clap,hmdb51,./Dataset/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_0/img/,77,s3,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_0.avi
4,#20_Rhythm_clap_u_nm_np1_fr_goo_1.avi,42,clap,hmdb51,./Dataset/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_1/img/,77,s3,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_1.avi
5,#20_Rhythm_clap_u_nm_np1_fr_goo_2.avi,42,clap,hmdb51,./Dataset/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_2/img/,77,s3,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_2.avi
6,#20_Rhythm_clap_u_nm_np1_le_goo_5.avi,42,clap,hmdb51,./Dataset/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_le_goo_5/img/,77,s3,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_le_goo_5.avi
7,#2_Gum_chew_h_nm_np1_fr_med_0.avi,0,chew,hmdb51,./Dataset/hmdb51/chew/#2_Gum_chew_h_nm_np1_fr_med_0/img/,78,s3,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/chew/#2_Gum_chew_h_nm_np1_fr_med_0.avi
8,#2_Gum_chew_h_nm_np1_fr_med_1.avi,0,chew,hmdb51,./Dataset/hmdb51/chew/#2_Gum_chew_h_nm_np1_fr_med_1/img/,121,s3,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/chew/#2_Gum_chew_h_nm_np1_fr_med_1.avi
9,#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_ba_med_0.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_ba_med_0/img/,79,s3,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_ba_med_0.avi
